"Imigranti dupa tara de emigrare si scopul sosirii , 2014-2019"

"Tara de emigrare","2014 Total","2014 La munca","2014 La studii","2014 Imigratie de familie","2014 Activitati religioase, umanitare si de voluntariat","2014 Alte cauze/ motive","2015 Total","2015 La munca","2015 La studii","2015 Imigratie de familie","2015 Activitati religioase, umanitare si de voluntariat","2015 Alte cauze/ motive","2016 Total","2016 La munca","2016 La studii","2016 Imigratie de familie","2016 Activitati religioase, umanitare si de voluntariat","2016 Alte cauze/ motive","2017 Total","2017 La munca","2017 La studii","2017 Imigratie de familie","2017 Activitati religioase, umanitare si de voluntariat","2017 Alte cauze/ motive","2018 Total","2018 La munca","2018 La studii","2018 Imigratie de familie","2018 Activitati religioase, umanitare si de voluntariat","2018 Alte cauze/ motive","2019 Total","2019 La munca","2019 La studii","2019 Imigratie de familie","2019 Activitati religioase, umanitare si de voluntariat","2019 Alte cauze/ motive"
"Tara de emigrare-total",4187,1359,928,1242,201,457,4209,1201,818,1442,282,466,4080,1052,869,1442,218,499,3708,829,716,1437,244,482,4223,899,805,1580,243,696,4857,1876,652,1628,306,395
"Afganistan",1,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,5,-,-,1,4,0
"Africa de Sud",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,4,2,-,2,-,-,3,-,-,-,-,3,-,-,-,-,-,-
"Albania",9,7,-,2,-,-,6,4,-,2,-,-,6,2,-,2,-,2,1,-,-,1,-,-,4,2,-,2,-,-,3,2,-,-,-,1
"Algeria",1,-,-,1,-,-,2,-,-,1,1,-,1,-,-,1,-,-,3,-,-,3,-,-,1,-,-,1,-,-,2,1,-,1,-,-
"Arabia Saudita",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"Argentina",-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
"Armenia",29,3,-,24,-,2,29,4,-,22,1,2,33,5,-,24,-,4,32,4,1,20,4,3,31,4,-,23,1,3,35,12,-,17,-,6
"Australia",2,-,-,1,1,-,5,-,-,-,4,1,2,1,-,-,1,-,4,-,-,-,2,2,11,1,1,3,6,-,1,-,-,1,-,-
"Austria",15,4,-,1,8,2,18,2,-,3,12,1,10,5,-,2,1,2,12,4,-,1,4,3,15,2,-,1,3,9,7,3,-,-,3,1
"Azerbaidjan",37,14,8,13,-,2,65,38,7,20,-,-,61,35,9,15,1,1,80,44,11,23,1,1,171,67,14,39,-,51,256,185,11,34,-,26
"Bahrain",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
"Bangladesh",-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,2,-,-,2,-,-,12,11,-,1,-,-,-,-,-,-,-,-
"Belarus",33,8,2,21,-,2,45,11,1,30,-,3,36,7,-,26,-,3,27,4,-,22,-,1,42,4,-,33,-,5,48,4,1,37,2,4
"Belgia",6,2,-,-,1,3,6,2,-,1,1,2,7,2,-,3,2,-,7,2,-,-,4,1,7,2,-,4,-,1,4,1,-,1,2,-
"Bolivia",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bosnia-Hertegovina",1,1,-,-,-,-,2,1,-,-,-,1,1,1,-,-,-,-,2,1,-,1,-,-,1,1,-,-,-,-,3,2,-,1,-,-
"Botswana",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Brazilia",12,7,-,5,-,-,9,5,-,2,2,-,19,15,-,-,4,-,15,8,-,1,6,-,13,11,-,-,2,-,9,4,-,-,5,-
"Bulgaria",37,21,1,7,1,7,23,14,-,4,-,5,19,14,-,5,-,-,15,6,2,3,-,4,17,8,-,3,-,6,18,11,1,4,-,2
"Burkina Faso",-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-
"Cabo Verde",-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Camboja",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Camerun",1,1,-,-,-,-,4,2,-,2,-,-,2,-,1,1,-,-,11,11,-,-,-,-,6,3,1,2,-,-,11,8,-,3,-,-
"Canada",7,2,-,2,1,2,4,2,-,1,1,-,6,-,1,1,3,1,5,2,1,1,-,1,5,2,1,1,-,1,8,-,3,2,1,2
"Republica Ceha",10,5,-,-,-,5,3,-,-,-,1,2,15,3,-,1,-,11,8,-,-,2,1,5,8,2,1,1,2,2,5,2,-,-,2,1
"China",26,16,6,3,-,1,28,20,5,2,-,1,36,20,11,5,-,-,24,14,5,5,-,-,27,6,6,9,1,5,35,21,11,3,-,-
"Cipru",6,1,4,1,-,-,6,2,1,3,-,-,3,2,-,1,-,-,5,2,1,2,-,-,8,2,1,2,-,3,4,1,2,1,-,-
"Columbia",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-
"Congo",5,-,5,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,12,2,10,-,-,-,9,-,9,-,-,-,-,-,-,-,-,-
"Coreea de Nord",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,6,1,3,2,-,-,1,-,1,-,-,-
"Coreea de Sud",12,-,8,4,-,-,7,2,4,-,1,-,10,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,2,-,2,-
"Costa Rica",11,1,1,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cote D'Ivoire",6,6,-,-,-,-,8,8,-,-,-,-,15,15,-,-,-,-,2,2,-,-,-,-,5,5,-,-,-,-,1,1,-,-,-,-
"Croatia",6,5,-,-,-,1,12,9,-,2,-,1,12,7,-,5,-,-,6,3,-,3,-,-,6,6,-,-,-,-,9,7,-,-,1,1
"Danemarca",3,-,-,1,1,1,5,2,2,-,-,1,6,3,1,1,1,-,7,2,-,1,1,3,3,-,1,-,1,1,8,5,1,-,2,-
"Dubai",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"EAU",-,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,2,-,1,1,-,-
"Ecuador",1,-,-,1,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
